scenario,p,a,y0,y_win
scenario_73__mode_singletons_phase2_fit_all__p_merge_0p7__a_1p9,0.7,1.9,0.0001875022293031,0.000180510827270508
scenario_74__mode_singletons_phase2_fit_all__p_merge_0p7__a_2p1,0.7,2.1,0.0002133872127481,0.0002064237974559
scenario_75__mode_singletons_phase2_fit_all__p_merge_0p7__a_2p3,0.7,2.3,0.0002362248806013,0.00022974968848894
scenario_76__mode_singletons_phase2_fit_all__p_merge_0p7__a_2p5,0.7,2.5,0.0002559452591541,0.00025555941121618
scenario_77__mode_singletons_phase2_fit_all__p_merge_0p8__a_0p5,0.8,0.5,6.282194774639593e-05,5.0663802282179865e-05
scenario_78__mode_singletons_phase2_fit_all__p_merge_0p8__a_0p7,0.8,0.7,7.952580441321111e-05,6.709339444868157e-05
scenario_79__mode_singletons_phase2_fit_all__p_merge_0p8__a_0p9,0.8,0.9,9.912868347767135e-05,8.457164189641052e-05
scenario_80__mode_singletons_phase2_fit_all__p_merge_0p8__a_1p1,0.8,1.1,0.0001153213038712,0.0001019575974054333
scenario_81__mode_singletons_phase2_fit_all__p_merge_0p8__a_1p3,0.8,1.3,0.0001354023928459,0.00012149062530714798
scenario_82__mode_singletons_phase2_fit_all__p_merge_0p8__a_1p5,0.8,1.5,0.0001569796332955,0.00014492186320434001
scenario_83__mode_singletons_phase2_fit_all__p_merge_0p8__a_1p7,0.8,1.7,0.0001755763997655,0.00016670975283895596
scenario_84__mode_singletons_phase2_fit_all__p_merge_0p8__a_1p9,0.8,1.9,0.0001950390404104,0.0001891849514093
scenario_85__mode_singletons_phase2_fit_all__p_merge_0p8__a_2p1,0.8,2.1,0.0002212469855653,0.00021600186549353202
scenario_86__mode_singletons_phase2_fit_all__p_merge_0p8__a_2p3,0.8,2.3,0.0002439975144332,0.000239562082920876
scenario_87__mode_singletons_phase2_fit_all__p_merge_0p8__a_2p5,0.8,2.5,0.0002692223411917,0.000265898083918004
scenario_88__mode_singletons_phase2_fit_all__p_merge_0p9__a_0p5,0.9,0.5,6.11433370837037e-05,5.057976323978158e-05
scenario_89__mode_singletons_phase2_fit_all__p_merge_0p9__a_0p7,0.9,0.7,7.679184555715785e-05,6.699736862920131e-05
scenario_90__mode_singletons_phase2_fit_all__p_merge_0p9__a_0p9,0.9,0.9,9.791851271121896e-05,8.480249006132127e-05
scenario_91__mode_singletons_phase2_fit_all__p_merge_0p9__a_1p1,0.9,1.1,0.0001176241074837,0.00010424260825338703
scenario_92__mode_singletons_phase2_fit_all__p_merge_0p9__a_1p3,0.9,1.3,0.0001385406821539,0.00012675232123736797
scenario_93__mode_singletons_phase2_fit_all__p_merge_0p9__a_1p5,0.9,1.5,0.0001571818661642,0.00014634444095605598
scenario_94__mode_singletons_phase2_fit_all__p_merge_0p9__a_1p7,0.9,1.7,0.0001811017153499,0.00017097014878782402
scenario_95__mode_singletons_phase2_fit_all__p_merge_0p9__a_1p9,0.9,1.9,0.0002095750259792,0.00019696736428302395
scenario_96__mode_singletons_phase2_fit_all__p_merge_0p9__a_2p1,0.9,2.1,0.0002287176166372,0.000217259377676696
scenario_97__mode_singletons_phase2_fit_all__p_merge_0p9__a_2p3,0.9,2.3,0.0002578147349843,0.000248817806028836
scenario_98__mode_singletons_phase2_fit_all__p_merge_0p9__a_2p5,0.9,2.5,0.0002829296297741,0.000274049885436892
scenario_99__mode_singletons_phase2_fit_all__p_merge_1__a_0p5,1.0,0.5,5.8591067183192666e-05,5.025601400779561e-05
