p,a,y_emp,y_pred,type
0.3,1.9,0.0001197038415393,0.00012311855522574133,observed
0.3,2.1,0.000134426601507,0.00013440023005361615,observed
0.3,2.3,0.0001481516557275,0.0001454070344741278,observed
0.3,2.5,0.0001582262796009,0.0001561488931321001,observed
0.3,0.5,,3.5502724762802114e-05,pred_curve
0.3,0.5202020202020202,,3.688619976752184e-05,pred_curve
0.3,0.5404040404040404,,3.826586125376789e-05,pred_curve
0.3,0.5606060606060606,,3.9641724967658255e-05,pred_curve
0.3,0.5808080808080808,,4.101380656874192e-05,pred_curve
0.3,0.601010101010101,,4.2382121630592915e-05,pred_curve
0.3,0.6212121212121212,,4.3746685641399556e-05,pred_curve
0.3,0.6414141414141414,,4.5107514004548885e-05,pred_curve
0.3,0.6616161616161617,,4.646462203920618e-05,pred_curve
0.3,0.6818181818181819,,4.781802498088985e-05,pred_curve
0.3,0.702020202020202,,4.9167737982041523e-05,pred_curve
0.3,0.7222222222222222,,5.051377611259163e-05,pred_curve
0.3,0.7424242424242424,,5.185615436052014e-05,pred_curve
0.3,0.7626262626262627,,5.3194887632412965e-05,pred_curve
0.3,0.7828282828282829,,5.4529990754013694e-05,pred_curve
0.3,0.803030303030303,,5.5861478470770924e-05,pred_curve
0.3,0.8232323232323233,,5.718936544838105e-05,pred_curve
0.3,0.8434343434343434,,5.851366627332678e-05,pred_curve
0.3,0.8636363636363636,,5.9834395453411204e-05,pred_curve
0.3,0.8838383838383839,,6.115156741828759e-05,pred_curve
0.3,0.9040404040404041,,6.246519651998486e-05,pred_curve
0.3,0.9242424242424243,,6.377529703342899e-05,pred_curve
0.3,0.9444444444444444,,6.508188315695984e-05,pred_curve
0.3,0.9646464646464648,,6.638496901284436e-05,pred_curve
0.3,0.9848484848484849,,6.768456864778522e-05,pred_curve
0.3,1.0050505050505052,,6.898069603342554e-05,pred_curve
0.3,1.0252525252525253,,7.027336506684968e-05,pred_curve
0.3,1.0454545454545454,,7.156258957107985e-05,pred_curve
0.3,1.0656565656565657,,7.284838329556889e-05,pred_curve
0.3,1.0858585858585859,,7.41307599166889e-05,pred_curve
0.3,1.106060606060606,,7.540973303821637e-05,pred_curve
0.3,1.1262626262626263,,7.668531619181309e-05,pred_curve
0.3,1.1464646464646466,,7.79575228375034e-05,pred_curve
0.3,1.1666666666666667,,7.922636636414757e-05,pred_curve
0.3,1.1868686868686869,,8.049186008991164e-05,pred_curve
0.3,1.2070707070707072,,8.175401726273325e-05,pred_curve
0.3,1.2272727272727273,,8.301285106078396e-05,pred_curve
0.3,1.2474747474747474,,8.426837459292799e-05,pred_curve
