a,p,y_emp,y_pred,type
0.5,0.36363636363636365,,4.3367467212179975e-05,pred_curve
0.5,0.3727272727272727,,4.365448653081816e-05,pred_curve
0.5,0.38181818181818183,,4.393139277129676e-05,pred_curve
0.5,0.3909090909090909,,4.4198711179098216e-05,pred_curve
0.5,0.4,,4.4456931245619066e-05,pred_curve
0.5,0.40909090909090906,,4.470650969954243e-05,pred_curve
0.5,0.4181818181818182,,4.49478732028247e-05,pred_curve
0.5,0.42727272727272725,,4.5181420784774896e-05,pred_curve
0.5,0.4363636363636364,,4.540752604343792e-05,pred_curve
0.5,0.44545454545454544,,4.562653913982786e-05,pred_curve
0.5,0.4545454545454546,,4.583878860740169e-05,pred_curve
0.5,0.4636363636363636,,4.6044582996440046e-05,pred_curve
0.5,0.47272727272727266,,4.6244212370645165e-05,pred_curve
0.5,0.4818181818181818,,4.643794967122218e-05,pred_curve
0.5,0.49090909090909085,,4.6626051961934115e-05,pred_curve
0.5,0.5,,4.680876156707395e-05,pred_curve
0.5,0.509090909090909,,4.6986307112946355e-05,pred_curve
0.5,0.5181818181818182,,4.715890448227171e-05,pred_curve
0.5,0.5272727272727272,,4.7326757689889224e-05,pred_curve
0.5,0.5363636363636364,,4.749005968722799e-05,pred_curve
0.5,0.5454545454545454,,4.764899310221564e-05,pred_curve
0.5,0.5545454545454546,,4.780373092058951e-05,pred_curve
0.5,0.5636363636363636,,4.79544371139541e-05,pred_curve
0.5,0.5727272727272728,,4.810126721937855e-05,pred_curve
0.5,0.5818181818181818,,4.8244368874841026e-05,pred_curve
0.5,0.5909090909090909,,4.838388231439498e-05,pred_curve
0.5,0.6,,4.851994082654833e-05,pred_curve
0.5,0.609090909090909,,4.8652671179005075e-05,pred_curve
0.5,0.6181818181818182,,4.8782194012614366e-05,pred_curve
0.5,0.6272727272727272,,4.890862420710052e-05,pred_curve
0.5,0.6363636363636364,,4.903207122090413e-05,pred_curve
0.5,0.6454545454545454,,4.9152639407247716e-05,pred_curve
0.5,0.6545454545454545,,4.9270428308343864e-05,pred_curve
0.5,0.6636363636363636,,4.938553292948929e-05,pred_curve
0.5,0.6727272727272727,,4.9498043994631214e-05,pred_curve
0.5,0.6818181818181818,,4.960804818485068e-05,pred_curve
0.5,0.6909090909090908,,4.9715628361080596e-05,pred_curve
0.5,0.7,,4.982086377226088e-05,pred_curve
0.5,0.709090909090909,,4.9923830250029896e-05,pred_curve
0.5,0.7181818181818181,,5.002460039095719e-05,pred_curve
0.5,0.7272727272727272,,5.012324372723789e-05,pred_curve
0.5,0.7363636363636363,,5.021982688669214e-05,pred_curve
0.5,0.7454545454545454,,5.031441374284347e-05,pred_curve
0.5,0.7545454545454545,,5.0407065555786115e-05,pred_curve
0.5,0.7636363636363636,,5.049784110449453e-05,pred_curve
0.5,0.7727272727272727,,5.0586796811175316e-05,pred_curve
0.5,0.7818181818181817,,5.067398685821444e-05,pred_curve
0.5,0.7909090909090909,,5.075946329822915e-05,pred_curve
0.5,0.7999999999999999,,5.084327615769426e-05,pred_curve
