motion,speed,label,parameter,median,q05,q95
isotropic,weibull,isotropic/weibull,speed_meanlog,0.7133249617298418,-0.6632550105491182,1.8248806795396864
isotropic,constant,isotropic/constant,speed_sdlog,0.8789291078551338,0.2924536246149631,1.4103636297636495
isotropic,lognorm,isotropic/lognorm,speed_sdlog,0.6868937910347668,0.22385860751086142,1.2615891524732539
isotropic,gamma,isotropic/gamma,speed_sdlog,0.8437989164445314,0.24161091359594922,1.396729028410253
isotropic,weibull,isotropic/weibull,speed_sdlog,0.7837555129365466,0.21146424971719427,1.372341501438385
persistent,constant,persistent/constant,adhesion,0.7825328441242951,0.4429649099891059,0.973249941430555
persistent,lognorm,persistent/lognorm,adhesion,0.6999502337166146,0.3524699635478747,0.9620279571656044
persistent,gamma,persistent/gamma,adhesion,0.7095954347746369,0.39956524858692044,0.9695789235889783
persistent,weibull,persistent/weibull,adhesion,0.7539364323947776,0.4304007769252539,0.9581214542572456
persistent,constant,persistent/constant,fragment_rate,0.004179666520409681,0.000457311635697694,0.008842587750390141
persistent,lognorm,persistent/lognorm,fragment_rate,0.004706156381556895,0.000766138745668338,0.00907611917072376
persistent,gamma,persistent/gamma,fragment_rate,0.004804110193753213,0.0005446323520251446,0.009239297091276273
persistent,weibull,persistent/weibull,fragment_rate,0.003983686926145825,0.0005491194657001521,0.009236611489658377
persistent,constant,persistent/constant,heading_sigma,0.2746485484757455,0.045936097459472386,0.5757234856850192
persistent,lognorm,persistent/lognorm,heading_sigma,0.6002796791100672,0.26402130570975785,0.7801562432983452
persistent,gamma,persistent/gamma,heading_sigma,0.7490753878743908,0.6570600237565307,0.7921974446146907
persistent,weibull,persistent/weibull,heading_sigma,0.6372240694074041,0.5431553644575778,0.73564941464121
persistent,constant,persistent/constant,init_n_clusters,516.7104255026093,348.02211899360475,902.7648692277246
persistent,lognorm,persistent/lognorm,init_n_clusters,1142.2986858436802,796.2957207413408,1453.7729971382907
persistent,gamma,persistent/gamma,init_n_clusters,1215.5049010337677,912.0401926044277,1441.925443258907
persistent,weibull,persistent/weibull,init_n_clusters,1191.5539764340785,850.1238806326083,1446.5422649086372
persistent,constant,persistent/constant,merge_prob,0.7637741793331742,0.4447856657886414,0.9625785394139189
persistent,lognorm,persistent/lognorm,merge_prob,0.7248465911129174,0.37571963217867793,0.9573090182561179
persistent,gamma,persistent/gamma,merge_prob,0.6671531447263384,0.3865177236602718,0.9502404183413812
persistent,weibull,persistent/weibull,merge_prob,0.75581736142715,0.42506007817352726,0.9636228152427293
persistent,constant,persistent/constant,prolif_rate,0.010992532282479157,0.006897417936508928,0.013766633393615413
persistent,lognorm,persistent/lognorm,prolif_rate,0.004715119361889605,0.0025469338981970115,0.00733541914248876
persistent,gamma,persistent/gamma,prolif_rate,0.00426448295158852,0.002807382602658796,0.006321335462272401
persistent,weibull,persistent/weibull,prolif_rate,0.004428456966093551,0.002895813154476599,0.006917119152146591
persistent,constant,persistent/constant,speed_meanlog,0.4364016727537172,-0.7865235106209864,1.749199926755334
persistent,lognorm,persistent/lognorm,speed_meanlog,0.21516662949479445,-0.5095373813465193,0.6667359886736897
persistent,gamma,persistent/gamma,speed_meanlog,0.6616759732807487,-0.6150023398152618,1.8486670918536727
persistent,weibull,persistent/weibull,speed_meanlog,0.41357077172592777,-0.7978750973782605,1.7725471273804665
persistent,constant,persistent/constant,speed_sdlog,0.8423794548347299,0.2103631507323947,1.417698718221767
persistent,lognorm,persistent/lognorm,speed_sdlog,0.7926146017010539,0.25783223458549415,1.3395469801918627
