param,distance
0.47000000000000003,1.1917100142284855
0.47000000000000003,1.203189895168868
0.47000000000000003,1.3174229625143894
0.47000000000000003,1.4322184422562392
0.47000000000000003,1.3980718685801767
0.47000000000000003,1.2574733948914043
0.47000000000000003,1.5072546091000372
0.47000000000000003,1.390514074254024
0.47000000000000003,1.2526088503406874
0.47000000000000003,1.3933091317399526
0.47000000000000003,1.1400485366448314
0.47000000000000003,1.3002653483037658
0.47000000000000003,1.479233574916457
0.47000000000000003,1.1418870066652764
0.47000000000000003,1.4947749052798758
0.47000000000000003,1.2484020801517541
0.47000000000000003,1.3866752016329276
0.47000000000000003,1.2656706234412012
0.47000000000000003,1.3596645543419401
0.47000000000000003,1.2586672640765426
0.47000000000000003,1.1821059525125752
0.47000000000000003,1.2906544562462618
0.47000000000000003,1.3330757968034364
0.47000000000000003,1.3176896228921484
0.47000000000000003,1.2920675162995787
0.47000000000000003,1.272318189467664
0.47000000000000003,1.264035013763656
0.47000000000000003,1.2396926377051236
0.47000000000000003,1.513161038846941
0.47000000000000003,1.3305522456483374
0.47000000000000003,1.1941303834703387
0.48,1.354979491041643
0.48,1.1137113664745568
0.48,1.1575719414887735
0.48,1.1792020092578834
0.48,1.136221263179062
0.48,1.3683990992169044
0.48,1.3001940251347714
0.48,1.661325584739947
0.48,1.3784579883048593
0.48,1.4837982375509993
0.48,1.3164568180082117
0.48,1.2454405787401759
0.48,1.0720567703143251
0.48,1.4886457470420746
0.48,1.0338661597776504
0.48,1.1925405780907883
0.48,1.2549722731494586
0.48,1.318215381776138
0.48,1.0873803087359992
0.48,1.3888701007572835
0.48,1.1610215353396491
0.48,1.2251441824256004
0.48,1.4501206168902903
0.48,1.3454002460230907
0.48,1.2414468312290625
0.48,1.7255899754687674
0.48,1.2347842069029393
0.48,1.5115104980992868
0.48,1.337889530956036
0.48,1.2665254556396455
0.48,1.0970939590506597
0.48,1.552996925693761
0.48,1.0212487294987054
0.48,1.2792242376403713
0.48,1.299071537651922
0.48,1.390349577261733
0.48,1.2047618176095534
0.48,1.2970015240856776
0.48,1.2325835117077133
0.48,1.3555427654913743
0.48,1.0883741210650366
0.48,1.2138760486125781
0.48,1.306937166124617
0.48,1.2712007972782637
0.48,1.1722072554991458
0.48,1.2974803621266597
0.48,1.3142221602196067
0.48,1.1791986090232975
0.48,1.257752025926774
0.48,1.5499317206610628
0.48,1.433646493820554
0.48,1.504553402926468
0.48,1.115685955794567
0.48,1.2918707247319532
0.48,1.029427998432295
0.48,1.318699911285238
0.48,1.2889436037721638
0.48,1.1188417726074158
0.48,1.217352370119324
0.48,1.182633092481758
0.48,1.1580745858551602
0.48,1.1025837676771095
0.48,1.1873213247732286
0.48,1.2316584405831235
0.48,1.239141896525746
