merge_prob,dt,inv_speed,pro_speed,inv_exp,pro_exp,inv_adh,pro_adh,inv_prolif,pro_prolif,inv_frag,pro_frag,inv_frag_exp,pro_frag_exp,init_phenotype,rep,n_final,mean_size_final,mean_speed_final,total_cells_final,n_mean_over_time,mean_size_over_time,mean_speed_over_time
0.6,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,10,152.7,4.0,1527.0,61.95016611295681,67.03433381428803,3.9838329561735075
0.6,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,10,163.2,4.0,1632.0,65.80730897009967,70.8582522540449,3.9842971375882206
0.6,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,11,143.8181818181818,4.0,1582.0,63.16943521594684,62.830448195361214,3.9814948711252267
0.6,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,12,128.33333333333334,4.0,1540.0,67.67109634551495,54.69422825146017,3.982005439190307
0.8,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,39,41.17948717948718,2.0,1606.0,128.51495016611295,19.24146226408468,1.992948820780159
0.8,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,35,43.57142857142857,2.0,1525.0,128.01328903654485,19.653526163924493,1.9924054694005955
0.8,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,31,51.32258064516129,1.9630047691256902,1591.0,125.39867109634551,20.918437232714126,1.992885437824073
0.8,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,38,41.421052631578945,2.0,1574.0,126.39202657807309,19.46116524900758,1.9924220774109958
0.8,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,36,43.30555555555556,2.0,1559.0,132.6013289036545,18.217829478159906,1.992943630290672
0.8,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,31,49.70967741935484,2.0,1541.0,113.53820598006645,21.38051902115615,1.991967699375416
0.8,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,28,56.42857142857143,2.0,1580.0,111.96345514950166,23.27951751917729,1.992059226580086
0.8,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,30,53.233333333333334,2.0,1597.0,110.76079734219269,22.212285516065396,1.9921697092193256
0.8,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,37,41.91891891891892,2.0,1551.0,114.58803986710963,20.097002622710765,1.992539296132292
0.8,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,29,55.275862068965516,2.0,1603.0,109.72093023255815,23.676566477738415,1.992385991532923
0.8,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,21,75.47619047619048,2.0,1585.0,100.2624584717608,27.192447672403578,1.9907908927849656
0.8,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,27,56.48148148148148,2.0,1525.0,105.39202657807309,23.418508577931057,1.9914749309465292
0.8,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,34,46.970588235294116,2.0,1597.0,103.9734219269103,22.66337541064656,1.9918129276527448
0.8,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,26,58.76923076923077,2.0,1528.0,100.3687707641196,25.386025270498415,1.9909928717793532
0.8,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,29,55.06896551724138,2.0,1597.0,104.78073089700996,22.582907447224606,1.991530795356247
0.8,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,17,91.6470588235294,3.0,1558.0,97.55481727574751,34.618541963006834,2.9890737871060726
0.8,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,16,98.1875,3.0,1571.0,94.48172757475083,36.2981159315083,2.9887306942497323
0.8,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,19,80.89473684210526,3.0,1537.0,101.19269102990033,30.468068020201862,2.9884887336044175
0.8,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,21,74.47619047619048,3.0,1564.0,97.71760797342192,32.40450227772359,2.9881594035929204
0.8,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,24,66.66666666666667,3.0,1600.0,101.70764119601328,29.11385101983715,2.988158354699647
0.8,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,14,116.28571428571429,3.0,1628.0,80.23920265780731,44.10173135690521,2.986957743305677
0.8,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,14,113.71428571428571,3.0,1592.0,77.06976744186046,47.76804317660045,2.986891618928602
0.8,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,15,102.66666666666667,3.0,1540.0,81.55813953488372,38.55295419179713,2.9861278647485663
0.8,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,18,89.27777777777777,2.995182951971397,1607.0,81.06644518272425,39.401160233753,2.9873018783267535
0.8,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,19,82.36842105263158,3.0,1565.0,78.32558139534883,39.814201673790606,2.987572456700373
0.8,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,15,107.33333333333333,3.0,1610.0,70.91029900332227,47.1511528992263,2.984842285013407
0.8,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,18,84.5,3.0,1521.0,71.51827242524917,39.23518787943748,2.9865480477642192
0.8,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,16,98.4375,3.0,1575.0,70.69102990033223,41.98055048025677,2.986937617915542
0.8,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,12,127.41666666666667,3.0,1529.0,66.2358803986711,50.91688687711831,2.9862600637064123
0.8,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,14,114.14285714285714,3.0,1598.0,69.2890365448505,49.74937074021481,2.986225686056996
0.8,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,17,92.3529411764706,4.0,1570.0,82.43853820598007,44.99089452664344,3.983497170474866
0.8,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,13,120.0,3.998340573029916,1560.0,84.96345514950166,45.626125415978855,3.9831064921830572
0.8,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,17,92.17647058823529,4.0,1567.0,88.75747508305648,39.26916963568306,3.9840341939440806
0.8,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,14,109.14285714285714,4.0,1528.0,85.58471760797342,42.56612769047483,3.9848383898579294
0.8,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,19,84.3157894736842,4.0,1602.0,85.98006644518273,38.72254834390133,3.98469257638305
0.8,0.5,4.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,8,197.125,4.0,1577.0,66.74418604651163,63.56036679207072,3.979178527219739
0.8,0.5,4.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,10,152.7,4.0,1527.0,61.95016611295681,67.03433381428803,3.9838329561735075
0.8,0.5,4.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,10,163.2,4.0,1632.0,65.80730897009967,70.8582522540449,3.9842971375882206
0.8,0.5,4.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,11,143.8181818181818,4.0,1582.0,63.16943521594684,62.830448195361214,3.9814948711252267
0.8,0.5,4.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,12,128.33333333333334,4.0,1540.0,67.67109634551495,54.69422825146017,3.982005439190307
0.8,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,11,142.54545454545453,4.0,1568.0,58.55481727574751,65.78452154055478,3.9805994287365336
0.8,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,12,132.25,4.0,1587.0,58.27574750830565,54.6015142370044,3.9803627886599253
0.8,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,10,159.1,4.0,1591.0,56.27242524916944,61.918193182021795,3.9793568717095673
0.8,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,7,229.71428571428572,3.986235147181591,1608.0,52.541528239202655,88.14156249526526,3.979326463864523
0.8,0.5,4.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,9,180.44444444444446,4.0,1624.0,59.57807308970099,68.98496812572245,3.97944805935396
0.95,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,27,57.03703703703704,2.0,1540.0,115.17275747508306,23.81245643513466,1.992344472825054
0.95,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,35,43.6,2.0,1526.0,125.10631229235881,19.58632943379243,1.9929438189560051
0.95,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,38,41.3421052631579,2.0,1571.0,126.81395348837209,19.031017721830736,1.9931309758975824
0.95,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,29,55.37931034482759,2.0,1606.0,119.01993355481727,23.398247425728712,1.9923723986857034
0.95,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,31,52.41935483870968,1.9802179003840925,1625.0,121.77076411960132,20.457854698949145,1.9924521509393822
