model,metric,time,mean,ci_low,ci_high
von_mises oscillatory 2.0,S0,143.0,528.54,526.1087539432868,530.9712460567131
von_mises oscillatory 2.0,S0,144.0,527.94,525.5329105503564,530.3470894496437
von_mises oscillatory 2.0,S0,145.0,527.32,524.9066220074449,529.7333779925552
isotropic,S1,0.0,800.0,800.0,800.0
isotropic,S1,1.0,804.3,803.9134827875041,804.6865172124958
isotropic,S1,2.0,808.6,808.0236645196949,809.1763354803052
isotropic,S1,3.0,812.68,811.9520095727124,813.4079904272875
isotropic,S1,4.0,816.43,815.5885823881235,817.2714176118764
isotropic,S1,5.0,820.44,819.5243496198954,821.3556503801047
isotropic,S1,6.0,824.71,823.8539338654832,825.5660661345169
isotropic,S1,7.0,829.18,828.1905896656609,830.169410334339
isotropic,S1,8.0,833.44,832.3960336210375,834.4839663789626
isotropic,S1,9.0,837.32,836.1430500806206,838.4969499193795
isotropic,S1,10.0,841.49,840.2524251156623,842.7275748843377
isotropic,S1,11.0,845.66,844.3479337020939,846.972066297906
isotropic,S1,12.0,849.93,848.5406437208898,851.3193562791101
isotropic,S1,13.0,854.02,852.6171010700422,855.4228989299578
isotropic,S1,14.0,858.72,857.3074258093677,860.1325741906323
isotropic,S1,15.0,863.5,861.9888356218539,865.0111643781461
isotropic,S1,16.0,867.82,866.1993358258873,869.4406641741128
isotropic,S1,17.0,871.87,870.1771330009822,873.5628669990178
isotropic,S1,18.0,875.68,873.9613754261449,877.398624573855
isotropic,S1,19.0,880.4,878.5588261978572,882.2411738021427
isotropic,S1,20.0,884.76,882.9072456871354,886.6127543128646
isotropic,S1,21.0,888.94,887.0250999703285,890.8549000296716
isotropic,S1,22.0,893.35,891.354025596812,895.345974403188
isotropic,S1,23.0,897.31,895.2737379704641,899.3462620295358
isotropic,S1,24.0,901.56,899.5385367180173,903.5814632819826
isotropic,S1,25.0,906.1,904.0677810107663,908.1322189892337
isotropic,S1,26.0,910.58,908.4574334438105,912.7025665561896
isotropic,S1,27.0,915.05,912.8542529721981,917.2457470278018
isotropic,S1,28.0,919.6,917.3769204724396,921.8230795275605
isotropic,S1,29.0,923.95,921.6822693139073,926.2177306860928
isotropic,S1,30.0,928.77,926.4931365288488,931.0468634711511
isotropic,S1,31.0,933.52,931.2519091475984,935.7880908524015
isotropic,S1,32.0,937.87,935.5230117537834,940.2169882462166
isotropic,S1,33.0,942.23,939.87719914308,944.58280085692
isotropic,S1,34.0,946.9,944.4919950669536,949.3080049330464
isotropic,S1,35.0,951.29,948.7766853279368,953.8033146720632
isotropic,S1,36.0,955.76,953.2328549508597,958.2871450491402
isotropic,S1,37.0,960.45,957.8314192833336,963.0685807166665
isotropic,S1,38.0,965.1,962.4168463301254,967.7831536698747
isotropic,S1,39.0,970.33,967.5828828815971,973.077117118403
isotropic,S1,40.0,974.87,972.1113806612434,977.6286193387566
isotropic,S1,41.0,979.45,976.6207265093583,982.2792734906418
isotropic,S1,42.0,984.35,981.5052705548397,987.1947294451603
isotropic,S1,43.0,989.2,986.3235790476793,992.0764209523207
isotropic,S1,44.0,994.29,991.3238777866982,997.2561222133018
isotropic,S1,45.0,999.46,996.4951699565975,1002.4248300434026
isotropic,S1,46.0,1004.24,1001.2329731253867,1007.2470268746133
isotropic,S1,47.0,1009.35,1006.2846612954296,1012.4153387045704
isotropic,S1,48.0,1014.97,1011.8838346133858,1018.0561653866142
isotropic,S1,49.0,1020.29,1017.1909309552966,1023.3890690447033
isotropic,S1,50.0,1025.45,1022.3431675229579,1028.5568324770422
isotropic,S1,51.0,1030.41,1027.309203512162,1033.5107964878382
isotropic,S1,52.0,1035.82,1032.6542731663242,1038.9857268336757
isotropic,S1,53.0,1040.41,1037.1287437195213,1043.691256280479
isotropic,S1,54.0,1046.0,1042.6361839851415,1049.3638160148585
isotropic,S1,55.0,1051.43,1048.0345798044061,1054.825420195594
isotropic,S1,56.0,1057.4,1053.923967476992,1060.8760325230082
isotropic,S1,57.0,1063.1,1059.6011020724989,1066.598897927501
isotropic,S1,58.0,1068.28,1064.7436419542305,1071.8163580457694
isotropic,S1,59.0,1073.55,1069.931498881659,1077.1685011183408
isotropic,S1,60.0,1079.15,1075.5369721531351,1082.763027846865
isotropic,S1,61.0,1084.6,1080.9046085594364,1088.2953914405634
isotropic,S1,62.0,1089.91,1086.1408843318895,1093.6791156681106
isotropic,S1,63.0,1095.07,1091.3051943345524,1098.8348056654474
isotropic,S1,64.0,1100.63,1096.900465367455,1104.3595346325453
isotropic,S1,65.0,1106.05,1102.3129068553596,1109.7870931446403
isotropic,S1,66.0,1111.49,1107.7878423546927,1115.1921576453074
isotropic,S1,67.0,1116.8,1113.0830401474518,1120.516959852548
isotropic,S1,68.0,1122.06,1118.3312806511856,1125.7887193488143
isotropic,S1,69.0,1127.84,1124.046089952984,1131.633910047016
isotropic,S1,70.0,1133.61,1129.8862714506163,1137.3337285493835
isotropic,S1,71.0,1139.18,1135.409208120891,1142.9507918791091
isotropic,S1,72.0,1144.84,1141.032612954858,1148.6473870451418
isotropic,S1,73.0,1151.33,1147.4985006524728,1155.161499347527
isotropic,S1,74.0,1156.84,1152.9717449983254,1160.7082550016744
isotropic,S1,75.0,1163.07,1159.204701882523,1166.9352981174768
isotropic,S1,76.0,1168.83,1164.9116777428717,1172.7483222571282
isotropic,S1,77.0,1174.82,1170.8662531002767,1178.7737468997232
isotropic,S1,78.0,1180.68,1176.6483572436603,1184.7116427563399
isotropic,S1,79.0,1186.8,1182.648002530119,1190.951997469881
isotropic,S1,80.0,1192.53,1188.2653744861555,1196.7946255138445
isotropic,S1,81.0,1198.57,1194.1515714753004,1202.9884285246994
isotropic,S1,82.0,1204.36,1199.8964617189652,1208.8235382810346
isotropic,S1,83.0,1210.05,1205.5390850443205,1214.5609149556794
isotropic,S1,84.0,1216.04,1211.4711726440491,1220.6088273559508
isotropic,S1,85.0,1221.96,1217.346378186634,1226.5736218133661
isotropic,S1,86.0,1228.25,1223.5892282990383,1232.9107717009617
isotropic,S1,87.0,1234.51,1229.8421468696124,1239.1778531303876
isotropic,S1,88.0,1240.73,1236.0552222573656,1245.4047777426345
isotropic,S1,89.0,1246.93,1242.106240813589,1251.7537591864111
isotropic,S1,90.0,1253.31,1248.4110141574758,1258.208985842524
isotropic,S1,91.0,1260.11,1255.209651963875,1265.0103480361247
isotropic,S1,92.0,1266.37,1261.432357765291,1271.3076422347087
isotropic,S1,93.0,1272.47,1267.4262408934558,1277.5137591065443
isotropic,S1,94.0,1279.08,1273.9985127865352,1284.1614872134646
isotropic,S1,95.0,1285.73,1280.7014661821588,1290.7585338178412
isotropic,S1,96.0,1291.9,1286.7873132564791,1297.012686743521
isotropic,S1,97.0,1298.67,1293.4701998156495,1303.8698001843507
isotropic,S1,98.0,1305.04,1299.8276877720132,1310.2523122279867
isotropic,S1,99.0,1311.42,1306.1330119955508,1316.7069880044494
isotropic,S1,100.0,1317.75,1312.4622637827676,1323.0377362172324
isotropic,S1,101.0,1324.46,1319.2047967204403,1329.7152032795598
isotropic,S1,102.0,1330.79,1325.47423748028,1336.10576251972
isotropic,S1,103.0,1337.55,1332.2178323887613,1342.8821676112386
isotropic,S1,104.0,1344.91,1339.476281936804,1350.343718063196
isotropic,S1,105.0,1351.47,1345.9966236755095,1356.9433763244906
isotropic,S1,106.0,1358.38,1352.8038447978936,1363.9561552021066
isotropic,S1,107.0,1365.08,1359.377584940332,1370.7824150596678
isotropic,S1,108.0,1371.72,1365.9108362164386,1377.5291637835614
isotropic,S1,109.0,1378.16,1372.3531986733772,1383.966801326623
isotropic,S1,110.0,1385.09,1379.1648953459014,1391.0151046540984
isotropic,S1,111.0,1391.92,1386.0189409837956,1397.8210590162046
isotropic,S1,112.0,1398.85,1392.9146692534696,1404.7853307465302
isotropic,S1,113.0,1406.22,1400.259473399171,1412.1805266008291
isotropic,S1,114.0,1413.07,1407.0462901794976,1419.0937098205022
