stage,merge_prob,adhesion,fragment_rate,heading_sigma,init_n_clusters,dist_s,dist_scale,nnd_rmse,s0_rmse,s0_rrmse,s1_rrmse,s2_rrmse,penalty,score
6,0.7427881245944316,0.8226266011061468,0.0002457259517402993,0.6490567702387928,935,0.7316006026617685,3.486425731650375,13.977698851545519,17.745596034687434,0.12764173053434663,0.1570950676765618,0.3445505435288063,1.4455054352880632,33.16880032152102
6,0.7216371978773323,0.7310498262532779,0.0004816258281638819,0.5849430169276079,934,0.7722322560615005,3.3748600522413432,13.793541952482014,12.470003559055177,0.1144790629178968,0.13826096659042558,0.30368611238735926,1.0368611238735925,27.300406635410784
6,0.7970161593714072,0.6737431337706075,0.0005301596644043645,0.5525519928080238,926,0.6985561276028648,3.327109358417091,17.62510487547388,20.718258335142412,0.12670021556457367,0.1928260295578064,0.3344186364231161,1.344186364231161,39.68754957484745
6,0.8221369669665746,0.8535406995317688,0.0002551417634541158,0.6184093537326624,958,0.7960084677854501,3.3449148430651965,11.131431189011678,14.807110502159235,0.13993525297628318,0.13069452273992713,0.30586700184897697,1.0586700184897695,26.997211709660682
6,0.7388153492080689,0.8427883699591228,0.00031113109280871614,0.5077998329979416,953,0.6452602672847033,3.2277999364497685,16.9872022640174,19.97358030810941,0.1220351924398387,0.17435808826141438,0.33909476724867005,1.3909476724867003,38.35173024461351
6,0.8033745316274769,0.8182165389039843,0.0009541405356910081,0.6428698731801779,993,0.7131537245362508,3.249299432183339,15.78186365839899,17.72906612345237,0.11315293501277714,0.14954368272464993,0.32204499520362767,1.2204499520362766,34.731379733887636
6,0.7879106102074421,0.8493708733150036,0.00023530304382802524,0.4273668902953537,984,0.7086828384497034,3.6816503645853453,7.608404406344487,17.02011600741756,0.17384372369146545,0.14695073716368892,0.35256207140683915,1.5256207140683915,26.15414112783044
6,0.6808982032888267,0.7403621401941858,0.000294021108660164,0.49311052266132166,937,0.6495078051322075,3.3039407592954873,15.65434949948704,19.707139838095074,0.11385714874080707,0.1863650106565191,0.38430609886670536,1.8430609886670535,37.20455032624917
6,0.6953892247188413,0.8236223031843332,0.0006292132344000108,0.4445227082225056,980,0.8016398703466238,3.2408631808009036,9.660254218861883,12.160818111280673,0.12190834289121005,0.12167240980134426,0.2907061919054488,0.9070619190544876,22.728134249197044
6,0.816369296998726,0.6735803118761217,0.00020605856996396327,0.4543910983486379,925,0.6444775067488853,3.2256335702618864,16.188298522265494,18.87161802565679,0.1155806061421954,0.20151257809855505,0.39204018406067553,1.9355276215923056,36.99544416951459
6,0.8033957545137693,0.7455885693999691,0.0010468817006589665,0.5018860410852186,946,0.7321110503790563,3.705258402006648,12.017340280819147,15.803758725193426,0.15703226229168635,0.12362933812404253,0.3320728704528824,1.320728704528824,29.1418277105414
