stage,merge_prob,adhesion,fragment_rate,heading_sigma,init_n_clusters,dist_s,dist_scale,nnd_rmse,s0_rmse,s0_rrmse,s1_rrmse,s2_rrmse,penalty,score
6,0.7222841081488268,0.7171774837482721,0.00044583922746646847,0.3607067040701584,975,0.7534771802553303,3.450499684928663,12.358540314592737,14.960013049534549,0.1493303057481898,0.13595545431687134,0.3460853285204495,1.4608532852044949,28.779406649331783
6,0.8559585811874502,0.8344217655510319,0.0005792538916458797,0.5458385152544035,981,0.6518680776566217,3.4751545087338918,13.338969241586339,14.924600597687586,0.1365619037978911,0.13186412498672326,0.2781542636852195,0.7815426368521949,29.04511247612612
6,0.8815256514645983,0.817062276245846,0.00029423486530108273,0.47682734409727856,954,0.6734862568541998,3.5043906709256425,10.140386899217201,14.417815953481735,0.15270155021120282,0.1357736305524366,0.34158254772122726,1.4158254772122725,25.97402832991121
6,0.7482327498131243,0.8121694214404046,0.0004493418025027168,0.44208563471389317,945,0.6946235205819158,3.542278340976413,13.231816874208661,16.270221047835122,0.15417841124306184,0.1363360561408659,0.30894419122438466,1.0894419122438466,30.59147983428763
6,0.8328152381422866,0.8432380706370036,0.0010526055442397991,0.49572660177403605,939,0.7340740527512296,3.456635561010982,10.913460751391655,15.878361798741738,0.15592301999627678,0.12835275597169668,0.2971380428850392,0.9713804288503919,27.763202978983784
6,0.8579218225045178,0.777961451716619,0.00024535515100857305,0.43205362902688926,940,0.7387438682889008,3.458067466600686,10.105926411537887,15.570865680151845,0.16399939403106933,0.119790546893163,0.2821576451574,0.8215764515739998,26.498368543263734
6,0.8783233479903623,0.7058586695092587,0.00041979161606524415,0.3621550245070836,938,0.6657348119882847,3.389176956087197,13.463136146078254,13.356840614696114,0.09609173914588794,0.16298527620785666,0.31366109456645697,1.1366109456645694,27.956587706438935
6,0.7566628977310694,0.784908792705327,0.0004683106007912748,0.32916172542587335,942,0.644442286567638,3.496658420263552,13.024230478119891,13.437160200800859,0.13089478002996432,0.1246626697647873,0.29612532956958526,0.9612532956958525,27.4226439746166
6,0.7672213318947269,0.8333097558122424,0.0004215013719100415,0.4857557697146905,970,0.7409790833725275,3.475378735407363,10.884955002615609,13.962430773595884,0.14740482888228065,0.12722650312094524,0.2747013622878632,0.7470136228786317,25.594399399090126
6,0.7803478604860428,0.691700280411073,0.00021940355411502813,0.44570923104711163,979,0.6712833150612387,3.5183948968136467,12.457591775494105,10.47348377309403,0.10091304178894775,0.11909151048717775,0.2687596535226685,0.687596535226685,23.61867208381482
