scenario,mode,model,AIC,BIC,max_loglik,abm::merge.p_merge,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_04_data_t71_phase2__p_merge_0p8__prolif_rate_0p001,data_t71_phase2,no_prolif_no_shed,1447.2227995548565,1458.7431250208774,-718.6113997774282,0.8,0.001,0.0002798841639594364,1531.8028110241958,0.03901576256928335,0.01806674858348748,0.1852995201963466,,
abm_04_data_t71_phase2__p_merge_0p8__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_no_shed,1774.862972871259,1788.687363430484,-881.4314864356295,0.8,0.001,0.00025573990415786175,499.6965312500827,0.014026611995828978,0.24594281283127942,0.34179192629657207,0.01171455750414635,
abm_04_data_t71_phase2__p_merge_0p8__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_cst_shed,977.8910110795612,994.0194667319904,-481.9455055397806,0.8,0.001,0.00034897538098441243,1321.946493431086,0.010019444977005326,0.009227378567237538,0.057692196339786436,0.0013955906165609802,0.004808741432625953
abm_05_data_t71_phase2__p_merge_0p9__prolif_rate_0p001,data_t71_phase2,no_prolif_no_shed,1400.6588521248773,1412.1791775908982,-695.3294260624386,0.9,0.001,0.000285294079989783,1528.4699239850247,0.03414712907458577,0.012938648287653108,0.20604736588628259,,
abm_05_data_t71_phase2__p_merge_0p9__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_no_shed,1711.431913433734,1725.2563039929591,-849.715956716867,0.9,0.001,0.00026408909419481857,531.1606196667028,0.009521819365218148,0.2457577643788189,0.31336355513441855,0.011361572207843377,
abm_05_data_t71_phase2__p_merge_0p9__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_cst_shed,1010.4150496793415,1026.5435053317706,-498.2075248396707,0.9,0.001,0.00034044624335153044,1339.5690672422277,0.008234932930394458,0.007913077760668477,0.09734800454841398,0.0012532604498800605,0.003729906174484853
abm_06_data_t71_phase2__p_merge_1p0__prolif_rate_0p001,data_t71_phase2,no_prolif_no_shed,1433.007988913709,1444.5283143797299,-711.5039944568545,1.0,0.001,0.0002854125485446498,1529.166513156381,0.03696748854439729,0.01623886985168725,0.19109349184032182,,
abm_06_data_t71_phase2__p_merge_1p0__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_no_shed,1740.6281189176539,1754.452509476879,-864.3140594588269,1.0,0.001,0.0002568421064868176,445.74895925960624,0.009308127845785611,0.26252884694691675,0.3701313965824736,0.012889336582957904,
abm_06_data_t71_phase2__p_merge_1p0__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_cst_shed,956.5042218633207,972.63267751575,-471.25211093166035,1.0,0.001,0.0003481570947368634,1342.1789894195178,0.007965728101314348,0.007654345749433349,0.07319597034626826,0.001233121484784291,0.0042459541905140955
abm_07_data_t71_phase2__p_merge_0p4__prolif_rate_0p002,data_t71_phase2,no_prolif_no_shed,1383.9611619012244,1395.4814873672453,-686.9805809506122,0.4,0.002,0.0002661576861522465,1583.064727527382,0.04424441153161684,0.009052198308066405,0.20813412051449726,,
abm_07_data_t71_phase2__p_merge_0p4__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_no_shed,1787.0386185244654,1800.8630090836905,-887.5193092622327,0.4,0.002,0.0002415039227114403,500.0851221535734,0.01716272324941059,0.23576047646581086,0.30960814011676446,0.012010977313039614,
abm_07_data_t71_phase2__p_merge_0p4__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_cst_shed,990.2300299530725,1006.3584856055018,-488.11501497653626,0.4,0.002,0.000334098468771361,1237.0380881287308,0.009414031623191276,0.009165834418601256,0.06575017320302078,0.002363170400893091,0.005091006130935757
abm_08_data_t71_phase2__p_merge_0p5__prolif_rate_0p002,data_t71_phase2,no_prolif_no_shed,1396.2178199208613,1407.7381453868823,-693.1089099604307,0.5,0.002,0.00027291676844472024,1585.5383356548464,0.0392586554154275,0.011144138390144076,0.19988212250351983,,
abm_08_data_t71_phase2__p_merge_0p5__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_no_shed,1409.3808555571145,1423.2052461163396,-698.6904277785573,0.5,0.002,0.0002731430404500648,1388.6450633807276,0.03248987954759216,0.10625818647231776,0.02731508184630413,0.002180841251954415,
abm_08_data_t71_phase2__p_merge_0p5__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_cst_shed,1012.9630142270371,1029.0914698794663,-499.48150711351855,0.5,0.002,0.00033211496692066024,1233.277706113689,0.00986014826184093,0.00940164400461878,0.06891269427038049,0.002400855210597956,0.004317095330091438
abm_09_data_t71_phase2__p_merge_0p6__prolif_rate_0p002,data_t71_phase2,no_prolif_no_shed,1417.5358910709824,1429.0562165370034,-703.7679455354912,0.6,0.002,0.0002766478702766943,1584.1859657153188,0.03788351906418534,0.011331477134727376,0.22523155295433003,,
abm_09_data_t71_phase2__p_merge_0p6__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_no_shed,1381.9895129048912,1395.8139034641163,-684.9947564524456,0.6,0.002,0.0002761383798977024,1523.2079819340142,0.03732335245499477,0.009139794993686683,0.21992368723790984,0.00036490186879016686,
abm_09_data_t71_phase2__p_merge_0p6__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_cst_shed,1057.6238245196737,1073.752280172103,-521.8119122598368,0.6,0.002,0.00033187249101455143,1247.14141092168,0.009098136740372976,0.009035385439970418,0.1005993372281077,0.0022811551727212115,0.003958011657108441
abm_10_data_t71_phase2__p_merge_0p7__prolif_rate_0p002,data_t71_phase2,no_prolif_no_shed,1414.6401130642887,1426.1604385303096,-702.3200565321443,0.7,0.002,0.0002802287306249592,1585.992088158508,0.034976121110513854,0.012943008450034816,0.20805297505570486,,
abm_10_data_t71_phase2__p_merge_0p7__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_no_shed,1373.2099635449742,1387.0343541041993,-680.6049817724871,0.7,0.002,0.00028051317130531924,1364.7943213765968,0.02741017325255382,0.11085246807220366,0.023114331172211684,0.0023948400852904397,
abm_10_data_t71_phase2__p_merge_0p7__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_cst_shed,1024.0822708500423,1040.2107265024715,-505.04113542502114,0.7,0.002,0.00033004780110477516,1248.0925871007457,0.008432653461559825,0.008437402475127247,0.09204674473878788,0.0022779973612029173,0.003527834731235516
abm_11_data_t71_phase2__p_merge_0p8__prolif_rate_0p002,data_t71_phase2,no_prolif_no_shed,1408.2000589100567,1419.7203843760776,-699.1000294550283,0.8,0.002,0.0002825026838103032,1583.687056175814,0.03476597967783596,0.012061988389718434,0.21264962388324227,,
abm_11_data_t71_phase2__p_merge_0p8__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_no_shed,1340.9014290200107,1354.7258195792358,-664.4507145100054,0.8,0.002,0.00028242798658857193,1324.0132263232142,0.026493502760772784,0.11344603892919419,0.018576226883916205,0.0026801167729564677,
abm_11_data_t71_phase2__p_merge_0p8__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_cst_shed,1001.3959381322768,1017.524393784706,-493.6979690661384,0.8,0.002,0.00033163153137127563,1253.6456011726852,0.0074201542750525614,0.007504248680201542,0.09978034346936897,0.0022208765047554316,0.003442760602622089
abm_12_data_t71_phase2__p_merge_0p9__prolif_rate_0p002,data_t71_phase2,no_prolif_no_shed,1429.2540710757764,1440.7743965417974,-709.6270355378882,0.9,0.002,0.000286091096627893,1587.8357545082888,0.030683245143077572,0.01621119468523173,0.20313663777562868,,
abm_12_data_t71_phase2__p_merge_0p9__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_no_shed,1311.5048975569293,1325.3292881161544,-649.7524487784647,0.9,0.002,0.00028615857460963023,1339.7648593690153,0.022748599819380672,0.10762370755611882,0.018375844107402558,0.0025501819357664083,
abm_12_data_t71_phase2__p_merge_0p9__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_cst_shed,1052.583177412057,1068.7116330644863,-519.2915887060285,0.9,0.002,0.0003689848686598592,1090.7652345971514,0.0258814587325821,0.007425394126472572,0.040155939330801665,0.0035936070096372324,0.005838341239972132
abm_13_data_t71_phase2__p_merge_1p0__prolif_rate_0p002,data_t71_phase2,no_prolif_no_shed,1408.408350123528,1419.928675589549,-699.204175061764,1.0,0.002,0.00028559569836605187,1585.3686692748831,0.0314886151308223,0.014272139607539478,0.19737627811362854,,
abm_13_data_t71_phase2__p_merge_1p0__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_no_shed,1309.1206613703862,1322.9450519296113,-648.5603306851931,1.0,0.002,0.00028580025223762424,1357.359640989803,0.023908343265813183,0.10463671439780456,0.017884761960433166,0.002390049269690058,
abm_13_data_t71_phase2__p_merge_1p0__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_cst_shed,931.9942675304587,948.122723182888,-458.99713376522936,1.0,0.002,0.0003283247223409672,1255.4383630282266,0.006054027613630705,0.00603348727339522,0.0945337638512076,0.0022065372017895024,0.002973691916093001
abm_14_data_t71_phase2__p_merge_0p4__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1760.31790298856,1771.838228454581,-875.15895149428,0.4,0.005,0.0002764728133593766,1827.156611812278,0.02758640682044987,0.08813095978271246,0.2982965912756732,,
abm_14_data_t71_phase2__p_merge_0p4__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1356.9915231656519,1370.815913724877,-672.4957615828259,0.4,0.005,0.0002667312295393385,872.9067012489465,0.011892411511572066,0.13693688000175405,0.028790302975283653,0.007928651934252457,
abm_14_data_t71_phase2__p_merge_0p4__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1320.260873250263,1336.3893289026923,-653.1304366251316,0.4,0.005,0.00027571292322646116,841.4462212104568,0.009773623052452314,0.1227537395908546,0.03008349539364816,0.008164709345965549,0.0006433744572847419
abm_15_data_t71_phase2__p_merge_0p5__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1760.5177781253365,1772.0381035913574,-875.2588890626682,0.5,0.005,0.00028231960415009085,1834.920346108531,0.024560925773867377,0.0921256441978372,0.3080167835883109,,
abm_15_data_t71_phase2__p_merge_0p5__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1293.2348431083044,1307.0592336675295,-640.6174215541522,0.5,0.005,0.00027169804607961404,838.294904928189,0.008219609620505264,0.14347671859092911,0.024804747733620878,0.008389604462010966,
abm_15_data_t71_phase2__p_merge_0p5__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1166.0989782397828,1182.227433892212,-576.0494891198914,0.5,0.005,0.00029407639713161676,992.3515619748897,0.007410976999239984,0.008091388638032085,0.2038536233953839,0.005493453393185172,0.0014249321689013687
abm_16_data_t71_phase2__p_merge_0p6__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1744.6808624279142,1756.2011878939352,-867.3404312139571,0.6,0.005,0.00028958183906720945,1843.7855026432885,0.02238884390932516,0.09609317273455913,0.2852658035251354,,
abm_16_data_t71_phase2__p_merge_0p6__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1334.2428479086552,1348.0672384678803,-661.1214239543276,0.6,0.005,0.0002793986015233545,872.8079747463952,0.009646408359298362,0.12992853943784752,0.030172643504267873,0.00790185652366805,
abm_16_data_t71_phase2__p_merge_0p6__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1331.9240373415698,1348.052492993999,-658.9620186707849,0.6,0.005,0.00028223345551463204,864.8124531688333,0.009540229764279977,0.12528203240914132,0.030732419616899372,0.007952496474599545,0.00018977938196501195
abm_17_data_t71_phase2__p_merge_0p7__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1751.3100810103792,1762.8304064764002,-870.6550405051896,0.7,0.005,0.0002907177272321142,1853.1615158071804,0.02078106244125109,0.09976525835850454,0.30234363115526264,,
abm_17_data_t71_phase2__p_merge_0p7__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1340.7725947862252,1354.5969853454503,-664.3862973931126,0.7,0.005,0.00027957149987450236,835.2324278524233,0.009244701230391412,0.13900470278227411,0.0300356840170082,0.008423264433056193,
abm_17_data_t71_phase2__p_merge_0p7__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1229.2971771523491,1245.4256328047784,-607.6485885761746,0.7,0.005,0.0002965343421789768,992.0212123434728,0.008581122420139442,0.009899941889272203,0.21106518190228335,0.005511918732647285,0.0010499709228759739
abm_18_data_t71_phase2__p_merge_0p8__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1738.8629375290707,1750.3832629950916,-864.4314687645353,0.8,0.005,0.0002925871168927793,1857.5109323747297,0.019372696947512376,0.10128155076116457,0.29361955304007165,,
abm_18_data_t71_phase2__p_merge_0p8__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1315.1035101050206,1328.9279006642457,-651.5517550525103,0.8,0.005,0.0002814724344263724,845.9068056362886,0.00810132971057986,0.1343050472625158,0.02982149661734008,0.00825395345438816,
abm_18_data_t71_phase2__p_merge_0p8__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1184.889410444948,1201.0178660973772,-585.444705222474,0.8,0.005,0.0002970578246096192,996.7481902958859,0.007298694611827333,0.008804864402865707,0.20661348842953015,0.0054563079516622955,0.0009663360031295545
abm_19_data_t71_phase2__p_merge_0p9__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1730.7638400716924,1742.2841655377133,-860.3819200358462,0.9,0.005,0.0002958637639469902,1863.1098055488633,0.01832115737297635,0.10350016444717619,0.2858290640710492,,
abm_19_data_t71_phase2__p_merge_0p9__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1270.7820948512785,1284.6064854105036,-629.3910474256393,0.9,0.005,0.0002844628434130815,848.1888888911845,0.006569388231183289,0.1280858348046205,0.02839838380634564,0.00817509374210919,
abm_19_data_t71_phase2__p_merge_0p9__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1116.7326727822488,1132.861128434678,-551.3663363911244,0.9,0.005,0.00029900773586588814,995.152992265875,0.006177521892567741,0.006768342321810422,0.19913334532376734,0.0054710345124138,0.0008923321504378199
abm_20_data_t71_phase2__p_merge_1p0__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1745.3978563192136,1756.9181817852345,-867.6989281596068,1.0,0.005,0.0002982445407506353,1865.0923116373976,0.01944230781552364,0.10361119448828146,0.289467117651166,,
abm_20_data_t71_phase2__p_merge_1p0__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1334.7813316715756,1348.6057222308007,-661.3906658357878,1.0,0.005,0.00028718052316868204,851.9749286688206,0.008834344745003532,0.13438648487816446,0.030225290851552254,0.008216416673579231,
abm_20_data_t71_phase2__p_merge_1p0__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1210.2797517385625,1226.4082073909917,-598.1398758692812,1.0,0.005,0.00030241746761924273,991.5133444816591,0.00808198555385871,0.009144792399235485,0.20659184241568052,0.005522216775358181,0.0009572577194978759
abm_21_data_t71_phase2__p_merge_0p4__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1844.2200419927008,1855.7403674587217,-917.1100209963504,0.4,0.01,0.0002946857722860401,2262.522146226711,0.0075001220450510555,0.21196018427022636,0.4757093608915401,,
abm_21_data_t71_phase2__p_merge_0p4__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1509.0987234896122,1522.9231140488373,-748.5493617448061,0.4,0.01,0.00026536580028723014,621.0786261399388,0.01912268439126485,0.015436852541382533,0.26258583925116064,0.011701374233047925,
abm_21_data_t71_phase2__p_merge_0p4__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1511.0987232568013,1527.2271789092306,-748.5493616284007,0.4,0.01,0.0002653663567569976,621.0824806322145,0.01912389047124624,0.015436760575345465,0.26261768368888644,0.011701300900362702,0.0
abm_22_data_t71_phase2__p_merge_0p5__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1861.5677615807642,1873.0880870467852,-925.7838807903821,0.5,0.01,0.0002959539799590799,2089.9262469715077,0.007879596753292334,0.20046873926659786,0.5258947809866822,,
abm_22_data_t71_phase2__p_merge_0p5__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1601.0215856824257,1614.8459762416508,-794.5107928412128,0.5,0.01,0.0002696520463363879,588.952816287631,0.02787254841045025,0.019483934452394096,0.2595393860875204,0.012230490335841802,
abm_22_data_t71_phase2__p_merge_0p5__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1603.0215860700916,1619.1500417225209,-794.5107930350458,0.5,0.01,0.00026965227209279404,588.9521517998205,0.02787046059476621,0.019484777780915334,0.25953765564556197,0.012230506261670607,0.0
abm_23_data_t71_phase2__p_merge_0p6__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1854.248457818682,1865.768783284703,-922.124228909341,0.6,0.01,0.0003025101561125759,2147.267547207803,0.007600672064675919,0.2008030812753579,0.5050976511527665,,
abm_23_data_t71_phase2__p_merge_0p6__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1577.022410385908,1590.846800945133,-782.511205192954,0.6,0.01,0.0002745444354466315,595.3830839692475,0.024858542591318807,0.018199048324389577,0.25829500542049566,0.01215213446981293,
abm_23_data_t71_phase2__p_merge_0p6__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1579.0224109091705,1595.1508665615997,-782.5112054545853,0.6,0.01,0.0002745435665052535,595.3836827397536,0.02486059062080619,0.018197786270832555,0.2582883980348674,0.01215214424367058,0.0
abm_24_data_t71_phase2__p_merge_0p7__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1873.0240291397213,1884.5443546057422,-931.5120145698606,0.7,0.01,0.0003031181680520282,2094.4319244040453,0.008149301869375255,0.20018518642027014,0.5273249458972173,,
abm_24_data_t71_phase2__p_merge_0p7__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1620.6931116780493,1634.5175022372744,-804.3465558390246,0.7,0.01,0.0002762115106406718,587.0305316940211,0.028057554035430532,0.020665539724125756,0.26607715329580905,0.012294516090112055,
abm_24_data_t71_phase2__p_merge_0p7__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1622.6931097636123,1638.8215654160415,-804.3465548818061,0.7,0.01,0.0002762124036707422,587.0333200791249,0.02805730431973946,0.020664382865369098,0.2661153748346674,0.012294461896440241,0.0
abm_25_data_t71_phase2__p_merge_0p8__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1855.5890165756941,1867.109342041715,-922.7945082878471,0.8,0.01,0.0003025961011887571,1933.7512429447033,0.005825784056781628,0.2166305915441274,0.5947814616472052,,
abm_25_data_t71_phase2__p_merge_0p8__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1633.3268789084468,1647.151269467672,-810.6634394542234,0.8,0.01,0.0002786628640314508,558.8921900803389,0.03379493525478547,0.01851099672477276,0.2636786797978638,0.012771571636116039,
abm_25_data_t71_phase2__p_merge_0p8__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1635.3268790653992,1651.4553347178285,-810.6634395326996,0.8,0.01,0.00027866242593825336,558.8889013060684,0.03379368223238452,0.018511404770778103,0.26367501859158615,0.012771647367478458,0.0
abm_26_data_t71_phase2__p_merge_0p9__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1889.243683098452,1900.764008564473,-939.621841549226,0.9,0.01,0.0003062535190973403,1909.4965470582365,0.006934730187593626,0.2225178547896324,0.604310653645715,,
abm_26_data_t71_phase2__p_merge_0p9__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1654.5575609455746,1668.3819515047996,-821.2787804727873,0.9,0.01,0.000282282348318682,548.5479827212117,0.03609195832333207,0.020326025062929333,0.25683625572378915,0.012963953618947638,
abm_26_data_t71_phase2__p_merge_0p9__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1656.5575623318832,1672.6860179843125,-821.2787811659416,0.9,0.01,0.00028228230507102304,548.5509460860216,0.0360897072431942,0.020326298349917272,0.25682785624547094,0.012963900737806717,0.0
abm_27_data_t71_phase2__p_merge_1p0__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1879.0116188919178,1890.5319443579388,-934.5058094459589,1.0,0.01,0.00030720479030611807,1895.120318310113,0.0062625015690729495,0.2249441723811616,0.6146614445150825,,
abm_27_data_t71_phase2__p_merge_1p0__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1653.248519475218,1667.072910034443,-820.624259737609,1.0,0.01,0.0002834883290644284,546.8683858283462,0.03594752631904037,0.019835072990379895,0.2606126528782738,0.012985235562985347,
abm_27_data_t71_phase2__p_merge_1p0__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1655.2485217308285,1671.3769773832578,-820.6242608654143,1.0,0.01,0.00028348897764674116,546.8683535051001,0.035948832625911226,0.0198344475119742,0.2606185274258711,0.012985210895260547,0.0
abm_28_data_t71_phase2__p_merge_0p4__prolif_rate_0p02,data_t71_phase2,no_prolif_no_shed,2295.460603515528,2306.980928981549,-1142.730301757764,0.4,0.02,0.0002984371210107906,1976.7020048303452,0.021314779658011162,0.42828604857615893,0.9372963452855335,,
abm_28_data_t71_phase2__p_merge_0p4__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_no_shed,2026.96073300789,2040.785123567115,-1007.480366503945,0.4,0.02,0.00020726698805335217,182.64556985858437,0.11046218818450827,0.04722527205898913,0.26373104274530157,0.026632686636896007,
abm_28_data_t71_phase2__p_merge_0p4__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_cst_shed,2028.9607299901254,2045.0891856425546,-1007.4803649950627,0.4,0.02,0.0002072518666745089,182.63294120564964,0.11046529065798608,0.047221026304555894,0.2637390700394724,0.026633639365447742,0.0
abm_29_data_t71_phase2__p_merge_0p5__prolif_rate_0p02,data_t71_phase2,no_prolif_no_shed,2256.2737578133274,2267.7940832793483,-1123.1368789066637,0.5,0.02,0.0002968975119200044,1743.9728736268546,0.011596314785311283,0.5111490407001846,1.0862576947268205,,
abm_29_data_t71_phase2__p_merge_0p5__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_no_shed,2010.8774879822954,2024.7018785415205,-999.4387439911477,0.5,0.02,0.00021566592102739322,188.51296988757895,0.10367909944643218,0.0442096485298364,0.26401850361220675,0.026327590087778945,
abm_29_data_t71_phase2__p_merge_0p5__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_cst_shed,2012.8774881563734,2029.0059438088026,-999.4387440781867,0.5,0.02,0.00021566784334702048,188.507671637143,0.1036835863158989,0.044206380759698564,0.26401790223234634,0.026327683317581393,0.0
abm_30_data_t71_phase2__p_merge_0p6__prolif_rate_0p02,data_t71_phase2,no_prolif_no_shed,2277.782560517663,2289.302885983684,-1133.8912802588316,0.6,0.02,0.00030106920424897467,1726.1304361413977,0.01299685891470059,0.5183432127730623,1.0924411063870725,,
abm_30_data_t71_phase2__p_merge_0p6__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_no_shed,2027.0320743679458,2040.856464927171,-1007.5160371839729,0.6,0.02,0.0002175004595569466,183.3604842470136,0.10700714973695169,0.04731347450901898,0.2634968937645877,0.026636372277284548,
abm_30_data_t71_phase2__p_merge_0p6__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_cst_shed,2029.0320736923522,2045.1605293447815,-1007.5160368461761,0.6,0.02,0.00021750973309373568,183.3789982211739,0.10700676995451058,0.04731231180507608,0.26353212227471,0.026635414326158187,0.0
abm_31_data_t71_phase2__p_merge_0p7__prolif_rate_0p02,data_t71_phase2,no_prolif_no_shed,2304.070240903083,2315.5905663691037,-1147.0351204515414,0.7,0.02,0.0003048375789893558,1703.2196187203838,0.014723443323060638,0.5276073953762014,1.1101483229909277,,
