replicate,steps,median_nonvar,median_var,mean_nonvar,mean_var,iqr_nonvar,iqr_var,delta_median
27,300,45.00032196694669,43.921388288442486,44.4347898856733,44.66114088807525,15.038049673518778,13.071847547176887,-1.0789336785042067
28,300,43.78436710334752,44.12804099221945,43.97596234338953,44.96404698823905,15.272216834256774,13.27785808196814,0.3436738888719262
29,300,44.05785865601994,43.161157060034355,44.122556637215865,43.49868833055155,13.726895213900335,15.277957090411888,-0.8967015959855829
30,300,44.82983240784838,44.122360355311656,46.02421338067077,43.84293033082857,15.171402642708806,14.019884551839993,-0.7074720525367226
31,300,45.26185120069502,44.80089279719525,44.8843775485596,44.593437772571434,14.875174044869645,15.171414731103432,-0.4609584034997667
32,300,43.66905469279868,44.616530583339,44.425765885434565,45.837689149654594,15.974545705562,15.391496431316718,0.9474758905403178
33,300,42.45243490765573,43.60287209755282,43.5270964538902,44.06334686178293,13.487621844876323,14.312948756707897,1.1504371898970902
34,300,43.81234188566469,42.06268866710256,44.33360712695478,42.91011709609271,12.387807918490346,14.337653205347095,-1.7496532185621234
35,300,42.67882413066547,41.16357527238159,43.13801002637652,42.58282229432729,12.51505271220514,15.438996238649693,-1.5152488582838757
36,300,44.790818869168305,42.724187981764565,44.13235816222452,43.928556732061544,13.217946973930218,14.607228862203094,-2.06663088740374
37,300,42.949913831772314,43.750561725270636,44.03407842347977,43.99149852550769,15.22501712349289,12.156533227512035,0.8006478934983221
38,300,43.568315871781486,43.24536398935183,44.821221372180204,42.98999014656805,14.876886578780713,13.147960956970287,-0.3229518824296562
39,300,44.20210277982035,41.90790641876614,44.41310181098951,43.24036400389073,15.050972212236076,16.53807513367753,-2.2941963610542118
40,300,43.39670642066782,43.99560363631288,44.49881251208772,43.98064677997876,14.91689501104453,14.08097504740094,0.59889721564506
41,300,42.8809333281052,44.853895007071586,43.60171609610695,45.149482389094715,12.06248435870301,13.095171229654852,1.972961678966385
42,300,44.92327477533096,43.61638338529161,45.48775644548192,44.586945795295684,15.93800071293817,13.422721908354184,-1.3068913900393468
43,300,44.03967335938904,42.52691436981399,44.51526821341396,44.29096576918633,17.526069311716263,16.25319969589148,-1.5127589895750546
44,300,43.30717971983482,41.118389974965005,44.349733980671154,42.77160895023721,13.799395818786756,15.544965639419004,-2.1887897448698155
45,300,43.1777981925277,43.48990976021892,44.03255076623526,44.207126830688004,15.545093764273943,15.01690979689144,0.3121115676912183
46,300,45.01149198520641,42.94486783761841,45.09716486543102,43.72681439519345,15.876187469926641,14.831728925252193,-2.0666241475880014
47,300,46.37382920826796,44.740031780763985,46.58256616304989,45.03741952926627,15.701939937806728,14.905990081622683,-1.6337974275039784
48,300,42.90037609042141,43.334603924109174,43.157103517468535,44.0286728091558,15.121754766572217,15.258393407145135,0.4342278336877641
49,300,43.149358758752385,42.97601704148882,43.71335641759215,45.030232621671544,12.695177622521499,14.909408477054086,-0.17334171726356828
50,300,44.73985874766264,42.61334482765665,45.04440640851627,43.01846521445344,15.188194238681469,13.33970725929261,-2.1265139200059906
51,300,42.92134112917648,44.347954320022474,43.83758344822828,45.116339222925184,14.80912682029227,13.33914797343082,1.4266131908459911
52,300,45.25190906140203,42.83556804636376,45.15508936546647,44.56823339727468,15.651105841865657,14.31746259317503,-2.4163410150382703
53,300,42.311730611501595,42.91135576893876,44.00798190963062,44.508375206541686,15.375530949232832,15.527312170794765,0.5996251574371669
54,300,40.98603931658633,42.97694276613949,43.23510633155577,43.88935564945864,13.01055590366915,12.517627301518985,1.9909034495531586
55,300,43.575283341178384,43.96025068714104,44.01876959717563,45.151053021657994,15.58529951240952,14.915505128056822,0.38496734596265725
56,300,43.90775010973864,42.600521725872795,43.88732844150701,43.111175766346115,14.651492763582397,13.393401484254234,-1.3072283838658478
57,300,43.577111106149914,43.484671791638625,43.94640671399457,44.90412186443695,12.87770618508145,13.486769537317421,-0.09243931451128873
58,300,43.63309052031453,43.3721581752851,43.96491383963622,43.70991929961167,14.196704774469652,15.424908978144515,-0.2609323450294312
59,300,43.628806485422515,43.99992723683596,43.22988686764359,44.59363563609155,14.086660706177902,16.829814937132625,0.3711207514134429
60,300,40.00178269876283,42.678583703620504,42.75295379555769,43.383531705445705,16.162196281466805,13.405731812431284,2.6768010048576727
61,300,45.99765632055713,43.75947803401664,45.34946260396919,43.8597003954922,16.802362864193697,15.40807470448567,-2.2381782865404887
62,300,43.44804882271426,42.33866608604671,44.71048855784452,43.39842810434651,15.667140930670257,14.993782546606148,-1.1093827366675555
63,300,45.21666554843486,43.197766977279386,45.11845030510203,43.67862008498539,15.122783453393971,13.248867834174256,-2.018898571155475
64,300,44.18088064460798,42.72444556546675,44.3073058981541,43.49440711334028,15.589014840734968,14.85765985169634,-1.4564350791412295
65,300,43.67324668703904,44.80298843660384,43.31978557743365,45.459875436195254,15.973274343691031,15.04430213746653,1.1297417495648006
