db,motion,speed,t,epsilon
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,11,18.30849389984874
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,-1,inf
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,0,30.40387286797275
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,1,23.18015833627088
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,2,20.05003626776109
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,3,14.828120454283486
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,4,11.145101395654226
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,5,9.188271694008264
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,6,8.243586909975633
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,7,7.518844183736771
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,8,7.002098567523977
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,9,6.6677924308564664
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,10,6.356511138535264
results/abc_INV_ABM_ready_summary_isotropic_lognorm_seed42_20260117_014108.db,isotropic,lognorm,11,6.159061702842454
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,-1,inf
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,0,35.688560810154755
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,1,27.568653837803662
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,2,23.306170450252413
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,3,22.324531162527766
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,4,21.418372088462256
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,5,20.80015893821424
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,6,20.307672946138993
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,7,19.762627955343067
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,8,19.520445032089125
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,9,19.32482019933328
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,10,19.067200661375367
results/abc_INV_ABM_ready_summary_isotropic_weibull_seed42_20260117_014108.db,isotropic,weibull,11,18.953038946895536
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,-1,inf
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,0,33.333373933185555
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,1,25.674124657860098
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,2,22.988090093671374
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,3,21.183447982435002
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,4,20.35076558586151
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,5,19.991022606297765
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,6,19.460379147174113
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,7,18.980299786480074
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,8,18.567017897092867
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,9,18.465399533840305
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,10,18.009126424341382
results/abc_INV_ABM_ready_summary_persistent_constant_seed42_20260117_014108.db,persistent,constant,11,17.654272091320948
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,-1,inf
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,0,24.186908133122092
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,1,20.748922264371668
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,2,19.03967386918339
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,3,17.590568913831454
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,4,16.121233888666687
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,5,15.126679578744962
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,6,14.164021519512495
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,7,13.279368161953899
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,8,12.660627918707698
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,9,12.243717774181013
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,10,11.636417889628067
results/abc_INV_ABM_ready_summary_persistent_gamma_seed42_20260117_014108.db,persistent,gamma,11,11.244463767950844
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,-1,inf
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,0,25.951888132703672
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,1,21.17421406208453
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,2,17.06430853996078
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,3,13.663882176490848
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,4,11.100295433858589
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,5,9.342561119890437
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,6,8.397639976240628
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,7,7.9619510781715
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,8,7.555771669408619
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,9,7.1820195860616645
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,10,6.8729199432014
results/abc_INV_ABM_ready_summary_persistent_lognorm_seed42_20260117_014108.db,persistent,lognorm,11,6.6531570564306755
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,-1,inf
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,0,26.23143575129545
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,1,21.92991187261047
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,2,19.76530363328983
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,3,18.592347310848854
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,4,17.487843444324945
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,5,16.488099643928447
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,6,15.491881428218138
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,7,14.795850640468709
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,8,14.263429253700732
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,9,13.809128624172013
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,10,13.448854898353611
results/abc_INV_ABM_ready_summary_persistent_weibull_seed42_20260117_014108.db,persistent,weibull,11,13.05944422037225
