Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Date,Well ID,Cluster Centre x float,Cluster Centre y float
6436,371,2.068864075,257,1327,Move,,71,3/16/2017,s073,256.5121294,1326.956873
5482,1384,14.90648437,277,674,Move,,71,3/16/2017,s073,277.2283237,673.9710983
6507,154,0.553289177,273,1251,Appearance type 1,,71,3/16/2017,s073,272.7467532,1250.662338
4778,1154,11.34958044,290,999,Move,,71,3/16/2017,s073,290.0545927,998.6256499
6508,163,0.602493687,287,146,Splitting,[5928.0],71,3/16/2017,s073,286.6871166,145.607362
5408,1769,21.54085034,340,1165,Move,,71,3/16/2017,s073,339.7716224,1165.163369
5295,858,7.276156403,349,584,Move,,71,3/16/2017,s073,348.8822844,583.7703963
5559,1112,10.73564828,362,175,Move,,71,3/16/2017,s073,361.9154676,174.653777
4796,1166,11.52706971,366,276,Move,,71,3/16/2017,s073,365.7770154,275.9236707
4968,1496,16.7520702,392,100,Move,,71,3/16/2017,s073,391.8415775,100.2152406
5489,1858,23.1867382,408,1059,Coagulation,"[6006.0, 5489.0]",71,3/16/2017,s073,407.8487621,1058.503767
5643,1781,21.76040495,415,838,Move,,71,3/16/2017,s073,415.412128,837.9449747
712,2700,40.61783212,420,414,Move,,71,3/16/2017,s073,419.882963,414.4703704
5701,1242,12.67224287,422,1312,Move large,[5701.0],71,3/16/2017,s073,421.9074074,1312.173913
2795,1505,16.90346909,424,311,Move,,71,3/16/2017,s073,424.1209302,311.1694352
2347,2458,35.28124579,436,634,Move,,71,3/16/2017,s073,436.2375915,633.6737185
5858,729,5.698524063,430,952,Move,,71,3/16/2017,s073,429.7599451,952.473251
5934,1437,15.77089158,439,1233,Move,,71,3/16/2017,s073,438.8942241,1233.281837
4086,689,5.236003484,480,1308,Move,,71,3/16/2017,s073,479.9172714,1308.449927
2433,3064,49.10257136,523,776,Coagulation,"[4809.0, 2433.0]",71,3/16/2017,s073,522.618799,775.5456919
3185,1377,14.79353639,509,21,Move,,71,3/16/2017,s073,509.416122,20.89615105
4312,866,7.378157674,514,534,Move,,71,3/16/2017,s073,513.9099307,534.0034642
3539,1243,12.68755059,534,228,Move,,71,3/16/2017,s073,534.1150442,228.2300885
4501,1311,13.742797,545,951,Move,,71,3/16/2017,s073,545.2158658,951.2623951
6510,166,0.619203248,542,1218,Splitting,[6336.0],71,3/16/2017,s073,542.3554217,1218.349398
4979,634,4.621734366,568,1050,Move,,71,3/16/2017,s073,568.2176656,1049.888013
4512,4083,75.53359649,599,364,Move,,71,3/16/2017,s073,599.1797698,364.1753613
2874,2111,28.08040996,603,1091,Move,,71,3/16/2017,s073,603.156324,1091.039792
4094,682,5.156412541,593,565,Move,,71,3/16/2017,s073,592.5366569,565.0322581
6336,802,6.575558509,607,1235,Move,,71,3/16/2017,s073,606.6895262,1234.866584
4071,963,8.651880746,609,665,Move,,71,3/16/2017,s073,609.1194185,664.5856698
4531,1100,10.56233948,613,808,Move,,71,3/16/2017,s073,612.8636364,808.3136364
2466,1539,17.47950073,629,164,Move,,71,3/16/2017,s073,628.7530864,164.2072775
4066,1379,14.82577802,624,242,Move,,71,3/16/2017,s073,623.9760696,242.3959391
4330,900,7.816905436,634,888,Move,,71,3/16/2017,s073,633.5444444,888.0177778
6012,651,4.808864907,653,960,Move,,71,3/16/2017,s073,653.1029186,960.4208909
2851,1356,14.45641571,667,14,Move,,71,3/16/2017,s073,666.6261062,13.55162242
5657,1985,25.60423831,697,557,Move,,71,3/16/2017,s073,697.2020151,557.3612091
4698,1375,14.76131817,695,287,Move,,71,3/16/2017,s073,694.5192727,286.7083636
448,1628,19.01746803,706,146,Move,,71,3/16/2017,s073,705.735258,145.7678133
4354,2043,26.73459713,720,448,Move,,71,3/16/2017,s073,720.0504161,447.5110132
5335,627,4.545403115,709,212,Move,,71,3/16/2017,s073,709.2025518,212.1180223
3249,2396,33.95481078,730,939,Move,,71,3/16/2017,s073,730.278798,938.6089316
2078,2479,35.73434978,747,700,Move,,71,3/16/2017,s073,747.0891489,699.9463493
4134,1134,11.05581278,742,1173,Move,,71,3/16/2017,s073,741.643739,1172.926808
6505,251,1.151281898,753,6,Move,,71,3/16/2017,s073,752.5258964,6.386454183
5978,519,3.423120054,759,501,Move,,71,3/16/2017,s073,758.8246628,501.3236994
5589,1220,12.33703623,767,1031,Move,,71,3/16/2017,s073,766.842623,1031.098361
3858,933,8.250752499,770,601,Move,,71,3/16/2017,s073,769.5702036,601.3429796
6489,369,2.052157283,799,821,Move,,71,3/16/2017,s073,799.2872629,820.7208672
5519,521,3.442925925,806,306,Move,,71,3/16/2017,s073,805.5796545,305.8214971
4355,1005,9.224018953,814,95,Move,,71,3/16/2017,s073,813.6915423,94.54726368
4360,1812,22.33101092,824,581,Move,,71,3/16/2017,s073,824.2036424,580.8239514
3302,856,7.250730128,829,1227,Move,,71,3/16/2017,s073,829.036215,1227.44743
6231,663,4.942439782,838,689,Move,,71,3/16/2017,s073,838.4177979,689.0497738
2928,956,8.557717236,849,1291,Move,,71,3/16/2017,s073,849.3043933,1291.023013
5529,1792,21.96231428,868,865,Move,,71,3/16/2017,s073,868.031808,865.0954241
904,1341,14.21720615,865,1004,Move,,71,3/16/2017,s073,865.3422819,1004.480984
3648,1892,23.82609078,893,427,Move,,71,3/16/2017,s073,893.2404863,427.2595137
4357,253,1.165069614,889,753,Move,,71,3/16/2017,s073,889.4189723,752.8814229
4149,2543,37.12706636,913,89,Move,,71,3/16/2017,s073,913.2697601,88.59535981
3900,4757,94.9884544,933,207,Coagulation,"[3900.0, 5946.0]",71,3/16/2017,s073,933.2535211,206.7153668
4572,566,3.898483862,906,1148,Move,,71,3/16/2017,s073,906.270318,1147.676678
5450,838,7.023233733,924,605,Move,,71,3/16/2017,s073,923.7649165,605.3627685
6353,443,2.699458675,934,515,Move,,71,3/16/2017,s073,933.8939052,515.4469526
1331,1332,14.07432033,945,951,Move,,71,3/16/2017,s073,944.5097598,950.6576577
5836,630,4.578064617,950,1184,Move,,71,3/16/2017,s073,949.7396825,1184.366667
4586,344,1.847178044,954,442,Move large,[4586.0],71,3/16/2017,s073,954.3401163,441.8924419
3337,2073,27.32562142,983,693,Move,,71,3/16/2017,s073,982.8060781,693.2619392
4164,1690,20.11412529,982,1084,Move,,71,3/16/2017,s073,981.5899408,1083.667456
6481,162,0.596957779,973,758,Move,,71,3/16/2017,s073,972.9938272,757.5925926
6451,781,6.318989662,980,27,Move large,[6451.0],71,3/16/2017,s073,979.9590269,27.21638924
6192,766,6.13782142,990,1007,Move,,71,3/16/2017,s073,990.0182768,1007.469974
6506,188,0.746290422,990,604,Move large,[6506.0],71,3/16/2017,s073,989.5425532,603.5531915
6381,941,8.357098657,1010,242,Move,,71,3/16/2017,s073,1009.600425,241.7088204
3662,802,6.575558509,1014,355,Move,,71,3/16/2017,s073,1014.330424,355.0947631
6460,464,2.893663757,1015,529,Move,,71,3/16/2017,s073,1015.021552,529.2543103
6482,600,4.254984375,1014,802,Move,,71,3/16/2017,s073,1014.498333,802.2766667
6491,357,1.952870379,1019,1314,Move,,71,3/16/2017,s073,1018.957983,1313.983193
6514,204,0.843560713,1019,429,Splitting,[4586.0],71,3/16/2017,s073,1019.362745,428.7303922
