motion,speed,label,parameter,median,q05,q95
isotropic,weibull,isotropic/weibull,speed_meanlog,0.26010166590233197,-0.7865766764196939,1.5557191690621237
isotropic,constant,isotropic/constant,speed_sdlog,0.8022795806709424,0.15528201332467015,1.4228315401265845
isotropic,lognorm,isotropic/lognorm,speed_sdlog,0.9055837364639012,0.45752105260021597,1.3900921611261141
isotropic,gamma,isotropic/gamma,speed_sdlog,1.0500711811505146,0.4715575936167794,1.3622608579485225
isotropic,weibull,isotropic/weibull,speed_sdlog,0.8590859183307269,0.28198059019717064,1.4292955842748156
persistent,constant,persistent/constant,adhesion,0.66145411425654,0.4651013693427019,0.8610006418221909
persistent,lognorm,persistent/lognorm,adhesion,0.8160659254579414,0.5498898977170585,0.9670620156428976
persistent,gamma,persistent/gamma,adhesion,0.8644731186923911,0.6838238710981548,0.9845608018474424
persistent,weibull,persistent/weibull,adhesion,0.8531081163917187,0.6296407753938607,0.987188374942114
persistent,constant,persistent/constant,fragment_rate,0.002706195046634942,0.0010898065223917226,0.004659811115796792
persistent,lognorm,persistent/lognorm,fragment_rate,0.0031992517153374466,0.00048745516822243503,0.007706094208886831
persistent,gamma,persistent/gamma,fragment_rate,0.004189452799317874,0.00036516784092009225,0.008295113713888021
persistent,weibull,persistent/weibull,fragment_rate,0.004250458695648784,0.00028064152224135236,0.009005254723676904
persistent,constant,persistent/constant,heading_sigma,0.3404403833110523,0.1077404129269385,0.5285333756334885
persistent,lognorm,persistent/lognorm,heading_sigma,0.5735435929736404,0.16710864528223593,0.7736765261449023
persistent,gamma,persistent/gamma,heading_sigma,0.16697144483880139,0.02224064236892634,0.357362700950878
persistent,weibull,persistent/weibull,heading_sigma,0.1578354714648193,0.023006412097210556,0.34426278786192477
persistent,constant,persistent/constant,init_n_clusters,244.02331613505345,214.95237216978063,278.7086847125596
persistent,lognorm,persistent/lognorm,init_n_clusters,876.6696737857449,582.4437543101349,1211.3884560738113
persistent,gamma,persistent/gamma,init_n_clusters,622.7770478447679,496.50562060060673,715.4251833498404
persistent,weibull,persistent/weibull,init_n_clusters,646.5529050518635,469.4483984647436,786.5536778145137
persistent,constant,persistent/constant,merge_prob,0.8801263584083875,0.7374358186478851,0.9745150194914874
persistent,lognorm,persistent/lognorm,merge_prob,0.8150559455033765,0.5110962895066922,0.9794728378641229
persistent,gamma,persistent/gamma,merge_prob,0.8280083072754951,0.6299296308753624,0.9794175665205981
persistent,weibull,persistent/weibull,merge_prob,0.8191311361744558,0.5708679852840078,0.9597497398966768
persistent,constant,persistent/constant,prolif_rate,0.019696413581245464,0.019180863271420726,0.019956969973960348
persistent,lognorm,persistent/lognorm,prolif_rate,0.007823467787587399,0.002162686916570024,0.013646610637914705
persistent,gamma,persistent/gamma,prolif_rate,0.018959557397907764,0.017696173332940546,0.019903419052035135
persistent,weibull,persistent/weibull,prolif_rate,0.01894031900654177,0.017182152557885702,0.019861136977635946
persistent,constant,persistent/constant,speed_meanlog,1.1122087102103748,0.0590180507784906,1.84290789556068
persistent,lognorm,persistent/lognorm,speed_meanlog,1.1902287226092918,0.6446764958002587,1.593010181169106
persistent,gamma,persistent/gamma,speed_meanlog,0.23526065355158987,-0.855584579459152,1.754751322211169
persistent,weibull,persistent/weibull,speed_meanlog,0.5892664186557977,-0.7140927767278943,1.7147076810916209
persistent,constant,persistent/constant,speed_sdlog,0.5264955613211298,0.15799146415288215,0.985588533850135
persistent,lognorm,persistent/lognorm,speed_sdlog,0.8156796721582882,0.312682939208822,1.31354205283623
persistent,gamma,persistent/gamma,speed_sdlog,0.9966134349556917,0.2661501901032262,1.4382570663202214
persistent,weibull,persistent/weibull,speed_sdlog,0.8114364491988431,0.2734757797947784,1.3598176886845614
