mode,override.movement_v2.phase2.speed_dist.params.a,override.phenotypes.proliferative.prolif_rate,scenario
data_t71_phase2,2.1,0.007,abm_52_data_t71_phase2__a_2p1__prolif_rate_0p007
data_t71_phase2,2.1,0.008,abm_53_data_t71_phase2__a_2p1__prolif_rate_0p008
data_t71_phase2,2.1,0.009,abm_54_data_t71_phase2__a_2p1__prolif_rate_0p009
data_t71_phase2,2.1,0.01,abm_55_data_t71_phase2__a_2p1__prolif_rate_0p01
singletons_phase2_fit71plus,0.7,0.004,abm_56_singletons_phase2_fit71plus__a_0p7__prolif_rate_0p004
singletons_phase2_fit71plus,0.7,0.005,abm_57_singletons_phase2_fit71plus__a_0p7__prolif_rate_0p005
singletons_phase2_fit71plus,0.7,0.006,abm_58_singletons_phase2_fit71plus__a_0p7__prolif_rate_0p006
singletons_phase2_fit71plus,0.7,0.007,abm_59_singletons_phase2_fit71plus__a_0p7__prolif_rate_0p007
singletons_phase2_fit71plus,0.7,0.008,abm_60_singletons_phase2_fit71plus__a_0p7__prolif_rate_0p008
singletons_phase2_fit71plus,0.7,0.009,abm_61_singletons_phase2_fit71plus__a_0p7__prolif_rate_0p009
singletons_phase2_fit71plus,0.7,0.01,abm_62_singletons_phase2_fit71plus__a_0p7__prolif_rate_0p01
singletons_phase2_fit71plus,0.9,0.004,abm_63_singletons_phase2_fit71plus__a_0p9__prolif_rate_0p004
singletons_phase2_fit71plus,0.9,0.005,abm_64_singletons_phase2_fit71plus__a_0p9__prolif_rate_0p005
singletons_phase2_fit71plus,0.9,0.006,abm_65_singletons_phase2_fit71plus__a_0p9__prolif_rate_0p006
singletons_phase2_fit71plus,0.9,0.007,abm_66_singletons_phase2_fit71plus__a_0p9__prolif_rate_0p007
singletons_phase2_fit71plus,0.9,0.008,abm_67_singletons_phase2_fit71plus__a_0p9__prolif_rate_0p008
singletons_phase2_fit71plus,0.9,0.009,abm_68_singletons_phase2_fit71plus__a_0p9__prolif_rate_0p009
singletons_phase2_fit71plus,0.9,0.01,abm_69_singletons_phase2_fit71plus__a_0p9__prolif_rate_0p01
singletons_phase2_fit71plus,1.1,0.004,abm_70_singletons_phase2_fit71plus__a_1p1__prolif_rate_0p004
singletons_phase2_fit71plus,1.1,0.005,abm_71_singletons_phase2_fit71plus__a_1p1__prolif_rate_0p005
singletons_phase2_fit71plus,1.1,0.006,abm_72_singletons_phase2_fit71plus__a_1p1__prolif_rate_0p006
singletons_phase2_fit71plus,1.1,0.007,abm_73_singletons_phase2_fit71plus__a_1p1__prolif_rate_0p007
singletons_phase2_fit71plus,1.1,0.008,abm_74_singletons_phase2_fit71plus__a_1p1__prolif_rate_0p008
singletons_phase2_fit71plus,1.1,0.009,abm_75_singletons_phase2_fit71plus__a_1p1__prolif_rate_0p009
singletons_phase2_fit71plus,1.1,0.01,abm_76_singletons_phase2_fit71plus__a_1p1__prolif_rate_0p01
singletons_phase2_fit71plus,1.3,0.004,abm_77_singletons_phase2_fit71plus__a_1p3__prolif_rate_0p004
singletons_phase2_fit71plus,1.3,0.005,abm_78_singletons_phase2_fit71plus__a_1p3__prolif_rate_0p005
singletons_phase2_fit71plus,1.3,0.006,abm_79_singletons_phase2_fit71plus__a_1p3__prolif_rate_0p006
singletons_phase2_fit71plus,1.3,0.007,abm_80_singletons_phase2_fit71plus__a_1p3__prolif_rate_0p007
singletons_phase2_fit71plus,1.3,0.008,abm_81_singletons_phase2_fit71plus__a_1p3__prolif_rate_0p008
singletons_phase2_fit71plus,1.3,0.009,abm_82_singletons_phase2_fit71plus__a_1p3__prolif_rate_0p009
singletons_phase2_fit71plus,1.3,0.01,abm_83_singletons_phase2_fit71plus__a_1p3__prolif_rate_0p01
singletons_phase2_fit71plus,1.5,0.004,abm_84_singletons_phase2_fit71plus__a_1p5__prolif_rate_0p004
singletons_phase2_fit71plus,1.5,0.005,abm_85_singletons_phase2_fit71plus__a_1p5__prolif_rate_0p005
singletons_phase2_fit71plus,1.5,0.006,abm_86_singletons_phase2_fit71plus__a_1p5__prolif_rate_0p006
singletons_phase2_fit71plus,1.5,0.007,abm_87_singletons_phase2_fit71plus__a_1p5__prolif_rate_0p007
