merge_prob,invasive_speed,proliferative_speed,dt,rep,n_final,mean_size_final,mean_speed_final,total_cells_final,n_mean_over_time,mean_size_over_time,mean_speed_over_time
0.3,4.0,1.0,1.0,0,23,93.8695652173913,1.390330183604419,2159.0,101.20598006644518,27.92889777978163,1.8200351346273858
0.3,4.0,1.0,1.0,1,31,74.3225806451613,1.7741935483870968,2304.0,106.66112956810632,24.945057097027675,1.8553912584694885
0.3,4.0,1.0,1.0,2,21,101.9047619047619,1.5714285714285714,2140.0,94.70099667774086,31.5934629270001,2.0602438631293154
0.3,4.0,1.0,1.0,3,21,113.95238095238095,1.5714285714285714,2393.0,96.69435215946844,34.82050605466992,1.7357175079697853
0.3,4.0,1.0,1.0,4,24,80.75,1.375,1938.0,99.68770764119601,29.45902638017514,1.8460572917645748
0.6,1.0,1.0,1.0,0,41,59.170731707317074,1.0,2426.0,102.35880398671097,23.066524454021177,0.996609935668367
0.6,1.0,1.0,1.0,1,31,67.70967741935483,1.0,2099.0,95.05647840531562,24.45177190324065,0.9965559122906738
0.6,1.0,1.0,1.0,2,36,55.72222222222222,1.0,2006.0,97.71760797342192,22.351334932302905,0.9971491060392208
0.6,1.0,1.0,1.0,3,26,79.8076923076923,1.0,2075.0,97.56478405315615,24.3203659123073,0.9965393074120641
0.6,1.0,1.0,1.0,4,30,75.3,0.9996116033717957,2259.0,101.19933554817275,26.121715935592228,0.9967543268392282
0.6,2.0,1.0,1.0,0,20,113.8,1.15,2276.0,81.33887043189368,34.66611303348918,1.2751066704224772
0.6,2.0,1.0,1.0,1,14,129.07142857142858,1.7142857142857142,1807.0,78.30897009966777,39.30277753062232,1.5064463637771128
0.6,2.0,1.0,1.0,2,26,86.0,1.2692307692307692,2236.0,80.0299003322259,33.78943644217459,1.3413006867418764
0.6,2.0,1.0,1.0,3,22,100.45454545454545,1.2727272727272727,2210.0,78.56478405315615,34.96114924589921,1.3118967405919435
0.6,2.0,1.0,1.0,4,19,111.6842105263158,1.263157894736842,2122.0,77.64784053156146,37.231343747978386,1.35197394320771
0.6,3.0,1.0,1.0,0,17,115.70588235294117,1.588235294117647,1967.0,74.95681063122923,38.67618601417424,1.6557548898569516
0.6,3.0,1.0,1.0,1,18,117.61111111111111,1.4444444444444444,2117.0,69.26910299003322,40.45766465191705,1.6766840099197895
0.6,3.0,1.0,1.0,2,16,119.9375,1.5,1919.0,73.31893687707641,42.04821849121277,1.7549649415534168
0.6,3.0,1.0,1.0,3,16,115.8125,2.25,1853.0,68.05980066445183,44.111587669785145,1.9500548829092725
0.6,3.0,1.0,1.0,4,17,104.58823529411765,1.8227356187702857,1778.0,70.84717607973423,40.9754898616914,1.75221281415839
0.6,4.0,1.0,1.0,0,12,138.91666666666666,1.991125263664572,1667.0,66.31893687707641,47.29331723025476,2.167340491348148
0.6,4.0,1.0,1.0,1,15,122.06666666666666,1.5875682812324734,1831.0,72.35548172757476,37.041710933712764,1.941672478955426
0.6,4.0,1.0,1.0,2,9,179.77777777777777,3.0,1618.0,60.564784053156146,67.13059982972234,2.5432541936178525
0.6,4.0,1.0,1.0,3,8,221.0,2.5,1768.0,57.81063122923588,75.39875824819231,2.35659341693431
0.6,4.0,1.0,1.0,4,14,150.28571428571428,1.6428571428571428,2104.0,65.96345514950166,49.81738297395769,2.0012642214948393
0.9,1.0,1.0,1.0,0,27,83.85185185185185,1.0,2264.0,89.49501661129568,28.788925807593873,0.9962665679582307
0.9,1.0,1.0,1.0,1,35,57.457142857142856,1.0,2011.0,90.46511627906976,22.632537048942247,0.9963147275917976
0.9,1.0,1.0,1.0,2,27,78.03703703703704,0.9998245730375085,2107.0,92.7873754152824,26.167972496442154,0.996400747662825
0.9,1.0,1.0,1.0,3,35,58.82857142857143,1.0,2059.0,95.74750830564784,21.605996924878582,0.9961650209515036
0.9,1.0,1.0,1.0,4,30,71.63333333333334,1.0,2149.0,85.43189368770764,26.62392307857567,0.9965006775037686
0.9,2.0,1.0,1.0,0,18,106.22222222222223,1.5,1912.0,68.88704318936877,39.73157754801432,1.4543178306619264
0.9,2.0,1.0,1.0,1,17,126.82352941176471,1.3529411764705883,2156.0,67.10963455149502,47.09245586885379,1.3518171463465618
0.9,2.0,1.0,1.0,2,19,106.36842105263158,1.4736842105263157,2021.0,68.48172757475083,37.67014428583094,1.4318666905463553
0.9,2.0,1.0,1.0,3,18,106.83333333333333,1.3880418886036667,1923.0,67.54817275747509,37.17386552991478,1.444573018907855
