scenario,mode,model,AIC,BIC,max_loglik,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_03_data_t71_phase2__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1636.66596911337,1650.490359672595,-812.332984556685,0.01,0.00027062353917243484,584.6734379832765,0.030469048106442985,0.022088170256443055,0.264034196136778,0.012310033297057524,
abm_03_data_t71_phase2__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1638.6659687177983,1654.7944243702275,-812.3329843588991,0.01,0.0002706232809509387,584.6727205535187,0.030467586987847375,0.0220881231324554,0.2640299283746363,0.01231007043222139,0.0
abm_04_data_t71_phase2__prolif_rate_0p02,data_t71_phase2,no_prolif_no_shed,2301.779963432078,2313.300288898099,-1145.889981716039,0.02,0.00030479264321677516,2004.4463945003947,0.022784717690459925,0.4173713279043878,0.9196175646783656,,
abm_04_data_t71_phase2__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_no_shed,2041.3540768509854,2055.1784674102105,-1014.6770384254927,0.02,0.00021274943720827794,182.64703684485,0.11015990920865504,0.05010141220451282,0.26906486020446907,0.026662854217343834,
abm_04_data_t71_phase2__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_cst_shed,2043.3540761467068,2059.482531799136,-1014.6770380733534,0.02,0.00021275731485429313,182.6585106193214,0.11014338218269361,0.05010534358318558,0.2690721463373003,0.026662265526547466,0.0
abm_05_data_t71_phase2__prolif_rate_0p05,data_t71_phase2,no_prolif_no_shed,2623.1240078756823,2634.6443333417033,-1306.5620039378412,0.05,0.0003597701885749521,2581.5307350719268,0.08515843000650475,0.4974786485868322,0.9905198454837674,,
abm_05_data_t71_phase2__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_no_shed,2451.154871756189,2464.979262315414,-1219.5774358780945,0.05,0.00013949936628868958,95.46752323267862,0.19288408083234423,0.1577779524842212,0.4255672582257696,0.03659827413145719,
abm_05_data_t71_phase2__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_cst_shed,2453.154872202892,2469.283327855321,-1219.577436101446,0.05,0.0001394796609862737,95.45894548150024,0.19290499605395758,0.15778291179643683,0.42558611244421013,0.03659931643830643,0.0
abm_06_data_t71_phase2__prolif_rate_0p1,data_t71_phase2,no_prolif_no_shed,2710.3521534262445,2721.8724788922655,-1350.1760767131223,0.1,0.0003900850142716076,2697.434946760132,0.10706916214293771,0.538598930961236,1.0506254470461378,,
abm_06_data_t71_phase2__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_no_shed,2568.7042283152377,2582.5286188744626,-1278.3521141576189,0.1,0.00015991801380487925,96.38249192929561,0.2062540898791283,0.21413632229381055,0.5196225432483871,0.037612728690104555,
abm_06_data_t71_phase2__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_cst_shed,2570.7042282558805,2586.8326839083097,-1278.3521141279402,0.1,0.00015991888529589686,96.38214897293653,0.20626540535948848,0.21414775092039345,0.51962480280204,0.03761279719884057,0.0
